,Age,EducationLevel,NumDependents,Latitude,Longitude,Terrorism,UserTenure,Gender_Male,Occupation_Retired,Occupation_Student,Occupation_Unemployed,MaritalStatus_Married,MaritalStatus_Single,MaritalStatus_Widowed,TransactionLocation_BRISBANE,TransactionLocation_CANBERRA,TransactionLocation_DARWIN,TransactionLocation_HOBART,TransactionLocation_MELBOURNE,TransactionLocation_PERTH,TransactionLocation_SYDNEY,DeviceType_Mobile,DeviceType_Tablet,TransactionType_Purchase,TransactionType_Transfer,TransactionType_Withdrawal,GiftsTransaction_AUD_equivalent,Income_AUD_equivalent,Expenditure_AUD_equivalent,TransactionAmount_AUD_equivalent,Year,Month,Day,IsFraud
30,18,1,1,-20.917574,142.702789,True,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,3103.3464,60890.14,34038.71,108.67,2023,12,17,no
31,30,0,1,-31.840233,145.612793,True,82,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,915.5552,43722.22,16843.36,115.83,2023,12,5,no
32,41,1,0,-31.840233,145.612793,False,19,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,6385.4252,76929.99,30532.41,69.16,2023,10,6,no
33,-46,0,0,-31.840233,145.612793,False,29,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,12590.9224,49397.11,30337.91,179.21,2023,6,16,no
34,28,1,2,-37.0201,144.9646,True,77,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,2733.44,52066.87,24461.1125,248.02,2023,9,6,no
35,33,1,0,-25.042261,117.793221,False,54,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,551.936,45101.0,29748.53,140.42,2023,12,19,yes
36,33,1,3,-37.0201,144.9646,False,25,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,2461.6424,29990.44,17712.86,1015.9,2023,11,29,no
37,27,0,3,-25.042261,117.793221,False,98,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1481.1327999999999,45307.73,14881.58,362.48,2023,10,4,no
38,22,0,2,-41.640079,146.315918,True,102,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,8083.16,42055.92,14534.0039,141.38,2023,7,5,no
39,39,1,4,-37.0201,144.9646,False,111,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,338.1588,82380.08,27427.15,2518.01,2023,3,31,no
40,-37,0,0,-37.0201,144.9646,False,4,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,9909.3288,141916.62,55868.73,81.67,2023,8,30,yes
41,45,2,4,-37.0201,144.9646,True,35,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,716.576,58379.49,39484.0,396.65,2023,4,11,no
42,-34,1,3,-31.840233,145.612793,False,108,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,6451.9475999999995,67103.53,50445.86,233.79,2023,3,18,no
43,21,1,4,-31.840233,145.612793,False,102,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2899.85,49909.47,67252.26,872.88,2023,8,26,no
44,30,0,1,-37.0201,144.9646,False,48,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,17428.613999999998,96920.49,37176.75,49.72,2023,10,25,no
45,48,0,1,-31.840233,145.612793,False,51,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3214.8312,87944.41,46729.35,294.27,2023,5,28,no
46,31,0,2,-20.917574,142.702789,True,40,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,11618.1744,152572.89,99144.72,473.52,2023,12,30,no
47,45,0,0,-31.840233,145.612793,True,101,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1798.692,81389.84,27615.92,125.95,2023,11,24,no
48,36,0,1,-20.917574,142.702789,False,48,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,59.368399999999994,109566.79,34395.89,56.94,2023,11,29,no
49,28,0,2,-25.042261,117.793221,False,44,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,9646.767199999998,57846.86,44390.57,114.4,2023,8,14,no
50,40,1,2,-37.0201,144.9646,True,36,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,471.92879999999997,88465.82,56613.18,11.48,2023,5,31,no
51,47,0,0,-37.0201,144.9646,False,61,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,6111.3388,107719.26,35823.48,8.65,2023,2,1,yes
52,31,0,2,-37.0201,144.9646,False,28,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,3832.15,89264.71,164028.8,119.75,2023,11,12,yes
53,18,1,1,-20.917574,142.702789,True,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,3103.3464,60890.14,34038.71,234.61,2023,12,22,no
54,31,0,3,-37.0201,144.9646,True,11,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,781.96,43122.82,73813.56,155.69,2023,5,23,no
55,26,2,1,-20.917574,142.702789,False,32,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,2436.7112,41791.14,23731.67,19.76,2023,2,21,no
56,-33,0,1,-20.917574,142.702789,False,8,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,11908.5484,75884.37,39066.61,224.26,2023,8,11,no
57,28,2,1,-37.0201,144.9646,False,116,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,2997.8396,32393.09,15364.34,954.62,2023,4,15,no
58,20,0,1,-25.042261,117.793221,False,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,2783.21,42934.25,25771.128099999998,129.7199,2023,6,17,no
59,33,0,4,-31.840233,145.612793,False,116,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,2361.2904,38089.79,11670.35,2255.12,2023,12,8,yes
60,32,1,3,-31.840233,145.612793,False,95,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1685.5608,28708.31,16077.13,202.52,2023,12,13,yes
61,18,1,3,-31.840233,145.612793,True,29,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1103.5,27769.98,15380.6252,71.0161,2023,8,14,no
62,29,0,3,-37.0201,144.9646,False,93,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,25359.8912,112304.27,43228.98,348.69,2023,6,12,yes
63,32,0,4,-25.042261,117.793221,False,51,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2738.76,150160.23,177119.33,82.6765,2023,11,14,yes
64,39,1,3,-31.840233,145.612793,False,52,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,6661.746,140463.73,82986.08,188.6,2023,6,8,yes
65,36,0,0,-31.840233,145.612793,False,12,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,8066.9288,32668.3,16805.99,577.34,2023,2,23,no
66,42,1,1,-37.0201,144.9646,True,22,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,8611.730399999999,55312.09,24757.45,237.14,2023,1,13,no
67,32,1,2,-30.000233,136.209152,False,9,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,9790.9252,126145.32,45669.32,17.4,2023,6,20,no
68,34,1,0,-31.840233,145.612793,False,15,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,3972.2144000000003,29439.07,18642.5,214.46,2023,3,2,no
69,41,0,4,-37.0201,144.9646,False,44,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,899.3,55139.23,43131.98,228.2511,2023,5,28,no
70,39,0,1,-31.840233,145.612793,True,108,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,594.4484,105346.36,70221.62,55.51,2023,10,14,no
71,40,0,1,-31.840233,145.612793,True,22,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,7275.8336,101024.95,53480.78,331.88,2023,5,10,no
72,50,1,3,-25.042261,117.793221,False,61,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,3023.4372,67543.96,35660.73,416.19,2023,12,26,no
73,32,0,1,-25.042261,117.793221,False,85,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,727.454,62398.85,38373.22,869.52,2023,12,17,no
74,35,0,0,-31.840233,145.612793,False,111,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,8450.4616,64230.77,26010.84,19.47,2023,4,18,yes
75,38,0,2,-31.840233,145.612793,False,29,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2254.2744000000002,54801.15,21627.78,109.65,2023,12,20,no
76,45,0,2,-25.042261,117.793221,False,89,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,2003.01,60839.16,30510.1459,352.27,2023,7,2,no
77,42,1,3,-25.042261,117.793221,True,52,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,3988.4628000000002,60362.24,30019.24,600.35,2023,12,27,yes
78,27,1,3,-31.840233,145.612793,True,7,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,6525.2516,61989.1,25227.63,219.6,2023,7,5,no
79,-34,0,4,-20.917574,142.702789,True,79,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,7535.9648,113296.55,66379.49,262.01,2023,1,26,no
80,39,1,4,-31.840233,145.612793,True,47,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,9349.6312,86997.11,39556.62,71.29,2023,9,22,yes
81,24,2,0,-37.0201,144.9646,False,87,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,22094.3352,143858.2,79058.74,585.09,2023,1,21,yes
82,18,0,2,-20.917574,142.702789,False,106,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,6866.9188,68689.1,41930.07,45.74,2023,10,21,no
83,22,0,0,-25.042261,117.793221,False,27,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,402.42719999999997,57311.81,36525.76,40.09,2023,12,5,no
84,37,0,3,-35.473469,149.012375,False,79,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,5082.5544,75576.17,48281.42,386.21,2023,11,6,yes
85,35,0,1,-37.0201,144.9646,False,33,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,47.6476,33086.58,17502.47,239.45,2023,11,3,no
86,35,1,1,-31.840233,145.612793,False,29,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,947.3072,33938.1,25563.35,91.0,2023,4,10,no
87,40,1,4,-37.0201,144.9646,False,67,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,3563.28,84701.46,90062.18,263.27,2023,3,24,yes
88,-35,2,3,-37.0201,144.9646,False,100,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,3481.8224,43266.32,22104.77,156.99,2023,3,25,no
89,28000,0,0,-31.840233,145.612793,True,83,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,2858.4836,99942.22,62947.74,48.82,2023,4,7,no
90,18,1,4,-37.0201,144.9646,False,88,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,4150.8096000000005,37884.74,15969.19,66.95,2023,11,19,no
91,44,1,1,-30.000233,136.209152,False,67,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1379.154,49616.26,22249.62,2.53,2023,5,15,yes
92,43,0,1,-20.917574,142.702789,False,75,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1727.4068,42111.84,28299.0,109.23,2023,11,9,no
93,41,1,0,-25.042261,117.793221,True,46,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,2939.2944,68667.6,36310.24,231.96,2023,11,24,no
94,60,1,1,-31.840233,145.612793,False,76,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,10.0548,53938.24,37040.06,271.31,2023,12,24,no
95,18,3,0,-35.473469,149.012375,False,55,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,9260.412,99605.21,42410.53,158.67,2023,12,18,no
96,26,1,2,-37.0201,144.9646,True,116,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,6445.6364,52193.72,23516.06,606.76,2023,10,31,no
97,32,1,4,-31.840233,145.612793,False,10,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,5711.048000000001,63267.36,24336.8,50.51,2023,12,25,no
98,30,1,1,-37.0201,144.9646,False,105,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,11518.2536,79839.45,50925.43,527.49,2023,8,17,no
99,42,1,1,-31.840233,145.612793,True,59,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,15338.4504,79421.68,56202.26,108.2,2023,11,15,yes
100,36,2,2,-31.840233,145.612793,False,72,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1275.9404,25673.65,12966.62,158.01,2023,10,12,no
101,51,1,3,-37.0201,144.9646,True,82,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,2097.6116,68758.98,38520.72,50.13,2023,6,20,no
102,30,2,1,-20.917574,142.702789,True,61,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,15299.79,101485.88,194987.92,130.44,2023,5,19,no
103,41000,0,4,-20.917574,142.702789,False,52,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,3299.2288,25120.88,10665.47,82.73,2023,12,17,no
104,49,2,4,-25.042261,117.793221,False,75,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1334.6816000000001,114892.99,58945.54,153.92,2023,5,7,no
105,43000,3,3,-20.917574,142.702789,False,14,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,97.3728,34730.01,10993.66,1050.46,2023,6,23,yes
106,43,0,2,-37.0201,144.9646,False,48,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,8018.7716,40574.75,27150.12,58.92,2023,9,6,no
107,31,3,2,-31.840233,145.612793,False,59,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,3170.1432,70964.37,25924.59,1223.24,2023,12,1,yes
108,37,3,1,-37.0201,144.9646,False,14,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,5973.609600000001,63498.82,38389.77,63.28,2023,10,4,yes
109,35,1,3,-31.840233,145.612793,True,49,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,10911.712,174007.38,123045.97,9.46,2023,12,2,yes
110,53,1,0,-25.042261,117.793221,False,13,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,15973.6472,141915.41,110891.46,1026.95,2023,9,21,no
111,46,0,0,-37.0201,144.9646,False,86,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,7784.57,67342.62,70272.95,125.77569999999999,2023,6,10,no
112,25,1,1,-25.042261,117.793221,False,60,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,2387.2604,72657.42,39988.2,198.89,2023,8,6,no
113,47,2,2,-25.042261,117.793221,True,28,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1552.712,32776.81,17345.85,14.52,2023,12,25,no
114,48,0,3,-37.0201,144.9646,False,23,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,165.38479999999998,39123.2,16347.6,189.49,2023,11,9,yes
115,31,0,4,-37.0201,144.9646,False,111,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,2504.7232,42099.6,18539.87,217.35,2023,12,9,no
116,24,1,2,-37.0201,144.9646,True,107,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,3258.3236,26899.47,11830.82,347.78,2023,10,12,no
117,26,1,4,-31.840233,145.612793,False,9,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,2893.6068,33842.2,22153.02,285.53,2023,10,20,no
118,32,2,3,-20.917574,142.702789,False,117,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,3485.6248,46742.25,26174.1,9.36,2023,12,26,yes
119,31000,1,0,-37.0201,144.9646,False,91,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,8172.5336,40123.66,19157.68,34.03,2023,1,16,no
120,18,0,4,-31.840233,145.612793,False,95,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2793.784,88374.57,50531.03,2328.23,2023,11,6,yes
121,48,0,3,-20.917574,142.702789,True,57,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,7621.4992,60111.37,41998.25,475.14,2023,12,12,no
122,29,1,4,-20.917574,142.702789,False,103,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,464.5788,62299.85,22359.9,60.22,2023,11,7,no
123,-18,0,2,-20.917574,142.702789,False,106,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,6866.9188,68689.1,41930.07,56.76,2023,10,21,no
124,26,0,4,-37.0201,144.9646,False,72,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,19934.69,70392.58,33296.9692,432.80830000000003,2023,3,12,no
125,33,1,2,-37.0201,144.9646,False,82,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,159.6224,28277.36,12646.97,100.62,2023,9,5,yes
126,36,2,3,-31.840233,145.612793,False,52,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,3541.1711999999998,45430.31,33400.01,229.08,2023,9,29,no
127,20,1,1,-20.917574,142.702789,False,103,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,6450.99,125382.89,101899.5099,149.22,2023,8,23,no
128,32,1,3,-25.042261,117.793221,False,40,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,872.8860000000001,86114.39,47648.87,54.43,2023,7,20,no
129,27,1,3,-31.840233,145.612793,True,67,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2802.3884,56640.92,26641.06,4.69,2023,1,16,no
130,32,1,0,-20.917574,142.702789,False,109,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,2873.8304,67088.63,29279.49,2575.2,2023,8,13,yes
131,-46,1,3,-37.0201,144.9646,False,56,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,74.9504,17298.81,6181.71,78.82,2023,10,29,yes
132,-32,0,4,-31.840233,145.612793,True,67,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,5618.4576,55167.16,18380.59,96.81,2023,10,2,no
133,46,0,1,-25.042261,117.793221,False,116,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,7851.1916,95316.16,35773.38,63.59,2023,12,14,no
134,23,0,4,-30.000233,136.209152,False,110,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,2469.2275999999997,73616.76,54843.65,200.33,2023,9,15,no
135,34,1,4,-30.000233,136.209152,False,27,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,17935.0192,125160.74,43097.88,58.43,2023,12,30,no
136,29000,1,2,-30.000233,136.209152,True,8,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,11070.7464,69605.44,22279.29,1124.38,2023,12,13,no
137,38,0,2,-41.640079,146.315918,False,69,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,24494.374799999998,104758.6,78125.23,1718.02,2023,3,11,no
138,42,0,1,-37.0201,144.9646,False,73,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1937.4012,40775.05,31671.72,317.55,2023,4,25,no
139,39,1,2,-37.0201,144.9646,True,28,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1177.8031999999998,28419.25,11172.93,2096.8,2023,2,28,yes
140,27,1,3,-31.840233,145.612793,True,81,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,833.9,41306.09,21851.5363,1047.41,2023,10,27,no
141,42,3,2,-20.917574,142.702789,False,98,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,215.7176,30528.11,22169.73,105.12,2023,12,2,no
142,39,0,2,-20.917574,142.702789,False,45,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1446.5584,35203.77,25474.73,12.88,2023,12,20,yes
143,32,1,2,-37.0201,144.9646,False,86,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,3332.46,68902.17,27193.6928,73.6032,2023,4,26,yes
144,24,1,1,-20.917574,142.702789,False,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,7585.592,38868.3,19356.77,121.71,2023,8,2,yes
145,48,1,3,-37.0201,144.9646,False,78,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,6393.9316,81792.07,57296.88,492.79,2023,9,24,yes
